n_estimators_ee,max_depth,learning_rate,n_estimators_lgb,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
15,4,0.031245249546916893,100,0.6618811881188119,0.019143474432703506,0.7272727272727273,0.037291045228006504,0.7511164938308985,0.07807022465900595,True
15,4,0.03030954117996485,100,0.6603960396039603,0.019063422357744452,0.7272727272727273,0.03713870556504674,0.7502611460146847,0.07806916013936543,True
15,4,0.06516913828355826,50,0.662871287128713,0.01921071496054798,0.7272727272727273,0.03741749533215968,0.7520929528423284,0.07806012401687497,True
15,4,0.06725355741228645,50,0.6618811881188119,0.019163240285347726,0.7272727272727273,0.03732762995662079,0.750624479600333,0.07805656321007715,True
15,4,0.030589046603112353,100,0.6612211221122112,0.01911006343325735,0.7272727272727273,0.03722653070430827,0.7503065627128909,0.07802940233463829,True
15,4,0.029971459502281986,100,0.6602310231023102,0.01903598752796913,0.7272727272727273,0.037087238549437476,0.7503444099613957,0.07796059926971101,True
15,4,0.06663869875666312,50,0.6633663366336633,0.01925327141797938,0.7272727272727273,0.03749775451509898,0.7523503141321626,0.07790227556747839,True
15,5,0.029252604973463492,100,0.6597359735973598,0.019022970744232308,0.7272727272727273,0.03706128616295042,0.7495117704942851,0.07783100293941449,True
15,5,0.031221770727565722,100,0.662046204620462,0.019146825855967296,0.7272727272727273,0.03729757388134156,0.7514722579668458,0.07782381980229765,True
15,5,0.030612579775927226,100,0.661056105610561,0.019103181392410462,0.7272727272727273,0.03721374809783814,0.7502081598667776,0.07776465587238368,True
15,8,0.02129479671550097,150,0.6613861386138614,0.019113413665526706,0.7272727272727273,0.03723378558559548,0.7507985769434561,0.07767573544079032,True
15,6,0.0344486021590988,100,0.6627062706270628,0.018707607637522317,0.7090909090909092,0.036438337240475724,0.7529331617591402,0.07762337575602483,True
15,4,0.03191579092636755,100,0.6617161716171618,0.019140565738617533,0.7272727272727273,0.03728450735526017,0.7511316327303005,0.07761642868958465,True
15,4,0.034563934299679945,100,0.6618811881188119,0.018659142544651935,0.7090909090909092,0.03634620245526811,0.7523957308303686,0.07753809465189924,True
15,4,0.03325565491745877,100,0.662046204620462,0.019154389481201347,0.7272727272727273,0.0373111533410527,0.7517069109075771,0.0774887495806407,True
15,4,0.065400289163375,50,0.662871287128713,0.019210045211947094,0.7272727272727273,0.037416418869027364,0.7520096888956174,0.0774575095187792,True
15,5,0.03252176915598483,100,0.662046204620462,0.018670555105483305,0.7090909090909092,0.03636810330093283,0.7513587162213307,0.07739497590061009,True
15,3,0.03236048254821972,100,0.6623762376237623,0.019175785034063052,0.7272727272727273,0.03735197232637963,0.7516690636590719,0.07731163244597569,True
15,4,0.05945057663161247,50,0.6610561056105612,0.019098478542022127,0.7272727272727273,0.037205515096409125,0.7500567708727576,0.07727693735971432,True
15,5,0.06256278997611278,50,0.662871287128713,0.01871054354270211,0.7090909090909092,0.03644401086038164,0.7513738551207327,0.07721812347036802,True
15,7,0.03991249247024693,50,0.6471947194719472,0.01830350301943418,0.7272727272727273,0.03569689786014414,0.741495723260919,0.07538898910548575,True
15,8,0.027211890709053548,100,0.6587458745874587,0.018975446795048007,0.7272727272727273,0.03697111290691761,0.7482552418439179,0.07391644329472363,True
15,4,0.02594303918471167,100,0.6561056105610561,0.018814612266988325,0.7272727272727273,0.03666669904674251,0.7475058663235183,0.07380199252937075,True
15,4,0.025075114162686665,100,0.6557755775577557,0.018779567789130862,0.7272727272727273,0.03660071191474409,0.7469911437438499,0.0737475048745569,True
15,4,0.02526316523759168,100,0.6554455445544555,0.018767650736666606,0.7272727272727273,0.03657779998862586,0.7466883657558094,0.07369759877383734,True
15,4,0.024812462093256275,100,0.6547854785478547,0.018733127963523166,0.7272727272727273,0.0365117948692788,0.7466883657558097,0.07366966169842647,True
15,4,0.026421963903165414,100,0.6567656765676568,0.018853147379310303,0.7272727272727273,0.036739796989225484,0.7479751722049807,0.07327842986881158,True
15,4,0.026425744866530182,100,0.656930693069307,0.018861415160946377,0.7272727272727273,0.03675548273648328,0.7480205889031868,0.07327692246902212,True
15,6,0.02684855093474306,100,0.6577557755775578,0.01890287739180003,0.7272727272727273,0.03683392432293288,0.7480811445007948,0.07322630191283888,True
15,3,0.05111736275889475,50,0.6562706270627062,0.018816189120187177,0.7272727272727273,0.03666982154538302,0.747150102187571,0.07307962325515696,True
15,3,0.028731638804325693,100,0.6597359735973598,0.019017972941906953,0.7272727272727273,0.0370521025841622,0.749466353796079,0.07307355756741785,True
15,5,0.028662616213939143,100,0.6592409240924093,0.018994438317700684,0.7272727272727273,0.03700735812653076,0.7494663537960792,0.0730493652772913,True
15,4,0.028011138346280356,100,0.6589108910891089,0.018970629677487964,0.7272727272727273,0.036962475445643746,0.7485882976307623,0.07289475341029339,True
15,4,0.023938395043210534,100,0.6541254125412541,0.018691745733727397,0.7272727272727273,0.03643402699257582,0.7456059344485656,0.07273301049306276,True
15,4,0.0239111713473297,100,0.6542904290429042,0.018698580723406563,0.7272727272727273,0.036446943384769157,0.7457876012413898,0.07266374352586172,True
15,4,0.03515057091984723,100,0.6622112211221121,0.01868808250514329,0.7090909090909092,0.03640101785591797,0.7531980924986753,0.0725717333902963,True
15,3,0.056902111295975034,50,0.6594059405940594,0.019006204110341464,0.7272727272727273,0.03702983746468269,0.7499053818787373,0.07167608777873039,True
15,4,0.059637922358432835,50,0.6612211221122113,0.019107643969059184,0.7272727272727273,0.037222921063506206,0.7504201044584058,0.0715031428519036,True
15,3,0.047100806898794326,50,0.6531353135313532,0.018637520862671463,0.7272727272727273,0.03633083870457479,0.7456664900461737,0.07064322969742451,True
15,7,0.022856050539046876,50,0.6321782178217822,0.01707020554722794,0.7090909090909092,0.03332551304079068,0.7362273862690183,0.07050748388829191,True
15,8,0.026932085766663345,100,0.6575907590759076,0.018903744086241975,0.7272727272727273,0.03683509144842702,0.748255241843918,0.0702136790041233,True
15,4,0.020377942654753043,50,0.6300330033003301,0.016939154155490525,0.7090909090909092,0.03307640856084553,0.734789190825827,0.07007278993401726,True
15,4,0.04181193372063441,50,0.6496699669966997,0.0184253283864537,0.7272727272727273,0.03592793563929118,0.7423510710771327,0.06973614790572127,True
15,3,0.49665392124373664,100,0.6537953795379539,0.01873804397433617,0.7272727272727273,0.03651946430312329,0.7724017863901296,0.0688226524697578,True
15,7,0.010364965441610821,150,0.6396039603960396,0.017406964960436082,0.7090909090909092,0.03396840628132269,0.7397396109302854,0.06850824375431346,True
15,4,0.026150780776460228,50,0.6361386138613861,0.01724484837694034,0.7090909090909092,0.033658219372209724,0.7374006509726743,0.0682590884366402,True
10,5,0.02923142002980253,100,0.6590759075907591,0.018464362172674942,0.7090909090909092,0.035972480822811015,0.7418741957459692,0.06792813265786495,True
15,3,0.03310089400457043,50,0.640924092409241,0.01747533872254146,0.7090909090909092,0.03409862338904522,0.7409582923321475,0.06781335035751503,True
15,4,0.02771710722430596,50,0.6384488448844884,0.01734303064519645,0.7090909090909092,0.03384579590860233,0.7379305124517448,0.06768749059790465,True
15,5,0.018062786598055828,100,0.6427392739273927,0.01756543402366309,0.7090909090909092,0.034270302115483556,0.7407085004920142,0.06716072040515922,True
15,6,0.027298412324703546,50,0.6377887788778878,0.017317202151267804,0.7090909090909092,0.03379628563566499,0.7380213458481568,0.06667166674377478,True
15,4,0.03886957284666623,50,0.6455445544554456,0.017708332880822564,0.7090909090909092,0.03454287777176598,0.741457876012414,0.06652803477046179,True
15,3,0.013167592787759516,150,0.6465346534653466,0.01775149922929016,0.7090909090909092,0.03462483977295973,0.7416244039058361,0.06636903992882333,True
15,3,0.019526532879412955,100,0.6460396039603961,0.01772765691844148,0.7090909090909092,0.034579330000048925,0.7415032927106199,0.06629586842465225,True
15,7,0.01083858126934475,200,0.6498349834983499,0.018443576562026016,0.7272727272727273,0.03596265249555428,0.7431004465975324,0.06551426254763061,True
5,8,0.02176020621313012,100,0.6475247524752475,0.01784909550554721,0.7090909090909092,0.034805576806121855,0.7274771024146545,0.06529568974891334,True
5,5,0.040392790513353566,50,0.6443894389438946,0.01768911650146756,0.7090909090909092,0.03450213582856808,0.7263795322080085,0.0652649728574161,True
15,4,0.03487546432161505,50,0.6425742574257425,0.01755665699252841,0.7090909090909092,0.03425399078874871,0.740549542048293,0.06481147048710345,True
15,7,0.014289384632250674,50,0.6237623762376238,0.017096505885164898,0.7272727272727273,0.03339542096641272,0.7332980092347285,0.06451210183323663,True
15,9,0.022364456490134,100,0.6503300330033004,0.018467984959806387,0.7272727272727273,0.03600907174041505,0.7436151691772008,0.06447424818775119,True
15,4,0.04597620196158975,50,0.6524752475247524,0.018599290503325008,0.7272727272727273,0.03625864612655194,0.7447884338808569,0.06429326938226791,True
15,7,0.022417876383505866,100,0.6513201320132014,0.018518682609904046,0.7272727272727273,0.03610546545492822,0.74375898872152,0.0642830302183789,True
15,4,0.02396007369091309,100,0.6546204620462046,0.01871755177040275,0.7272727272727273,0.03648286646781188,0.7458178790401938,0.06370233424113261,True
15,4,0.02180629392732133,100,0.6504950495049505,0.01847424923564185,0.7272727272727273,0.03602055818076501,0.7434032245855726,0.06209974070478412,True
10,4,0.024681566883427385,50,0.6308580858085808,0.016991318330667554,0.7090909090909092,0.03317200325133822,0.7335780788736659,0.06204187861508018,True
10,6,0.011377612062916166,100,0.6282178217821782,0.016872115384172014,0.7090909090909092,0.03294413772174957,0.7317008553478161,0.06164613237546849,True
15,7,0.015294645704751156,150,0.651980198019802,0.018563862365489674,0.7272727272727273,0.0361908469670166,0.7443645446976006,0.06141478545260907,True
15,5,0.045281113009097464,50,0.6521452145214521,0.018578614771893827,0.7272727272727273,0.03621910980473037,0.7442207251532814,0.061068810209146764,True
15,5,0.038397120430335496,50,0.6455445544554456,0.017702274033176407,0.7090909090909092,0.03453121482202157,0.7408296116872304,0.06083168935338081,True
10,8,0.021839352923182977,150,0.6605610561056106,0.018994135121034327,0.7272727272727273,0.037001959447608306,0.7438800999167361,0.06081352991456459,True
10,9,0.09120312399415063,200,0.667986798679868,0.02056488467614987,0.7636363636363637,0.040032645228269235,0.7621224736961623,0.06051302151168152,True
10,4,0.03453770854199255,100,0.6610561056105612,0.018529591894701058,0.7090909090909092,0.03609697985272482,0.7449701006736811,0.06007757474758364,True
15,9,0.03178634602859698,50,0.6400990099009901,0.017441212301967202,0.7090909090909092,0.034033781250161425,0.7401180834153358,0.06001567325486416,True
10,5,0.27157943287126113,50,0.6653465346534653,0.019885979331893965,0.7454545454545455,0.038721978185869144,0.7621451820452654,0.05994874339703752,True
10,4,0.07626125710938093,50,0.6648514851485149,0.019302881925354502,0.7272727272727273,0.03758768621707669,0.7464688517144804,0.05954861114690385,True
15,3,0.03262055183497336,200,0.66996699669967,0.02014683247508936,0.7454545454545455,0.03921574981501659,0.7600181666792823,0.059253321991493836,True
15,7,0.0504838067888979,200,0.6678217821782179,0.01953123042402781,0.7272727272727273,0.038024236737374026,0.7646431004465974,0.05891097249032964,True
15,8,0.041245195428195824,150,0.667986798679868,0.01903559990374472,0.7090909090909091,0.03705835585790036,0.7592158050109756,0.05862983143516036,True
15,6,0.06400961923891303,100,0.6694719471947195,0.019617841158966393,0.7272727272727273,0.03818813096364401,0.7605707365074559,0.05852856379746625,True
15,6,0.042252818044208475,150,0.668976897689769,0.01909210634624291,0.7090909090909091,0.0371662539395355,0.7599576110816744,0.058237162506175874,True
