n_estimators_ee,n_estimators_ada,learning_rate_ada,max_depth_tree,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
10,75,0.010523345340030117,3,0.5797029702970298,0.01694773886092437,0.8,0.0331827592877533,0.7516312164105671,0.04672711461830384,True
15,25,0.02042384566716365,3,0.5836633663366337,0.01794894285896136,0.8363636363636363,0.03513466301693468,0.751684202558474,0.046561391176365444,True
15,25,0.03839629299804171,2,0.5618811881188119,0.01571585850614558,0.7818181818181819,0.030803159275657056,0.72127772310953,0.046369720451366656,True
5,75,0.048149570000288786,3,0.6107260726072606,0.017945305764895714,0.7818181818181819,0.03507237098480209,0.7675573385814851,0.046024513753579153,True
5,75,0.04354312451226961,3,0.6033003300330033,0.017689130910498098,0.7818181818181819,0.034584666463998756,0.7641056695178261,0.045461112494541205,True
10,75,0.013217856422663769,2,0.5437293729372937,0.015099468491725748,0.7818181818181819,0.029614021123644474,0.7189311937022179,0.04490389135518418,True
15,75,0.0910401729949447,3,0.6260726072607261,0.01940727752765421,0.8181818181818181,0.037909613560586045,0.7819392930133979,0.04349740178388974,True
5,75,0.05482721615805556,3,0.60990099009901,0.017875862233418423,0.7818181818181819,0.03494102798010692,0.7663916433275302,0.04347814924389031,True
5,25,0.011085147653680516,3,0.5420792079207921,0.01467910795270641,0.7636363636363637,0.028793096470275968,0.7507910074937552,0.04292785566618089,True
10,75,0.0730953983591291,1,0.46980198019801983,0.012960561541841614,0.7818181818181819,0.025494106877517277,0.7338581485126031,0.04263071779771099,True
5,50,0.15079425787710554,3,0.6293729372937293,0.018359141784292703,0.7636363636363637,0.035845545485219614,0.7743395655135872,0.042585167564724954,True
5,75,0.06807918528498572,3,0.6158415841584158,0.01782207265915512,0.7636363636363637,0.034821860966596355,0.7712815078343803,0.04248088146312849,True
10,100,0.07130753832105814,1,0.4772277227722772,0.013147060864463555,0.7818181818181819,0.025855174670504244,0.7339489819090153,0.04188787077398516,True
10,75,0.12157325452700529,3,0.6366336633663366,0.019577639931470773,0.8,0.038212511664814715,0.7722958140943154,0.04169111067816131,True
10,25,0.23359635026261596,2,0.6085808580858085,0.018201103761766528,0.8,0.035584262543507314,0.7463326016198621,0.04090186142637996,True
20,100,0.01462937812220125,2,0.5658415841584159,0.015470682154160439,0.7636363636363637,0.030315888872199957,0.7284232836272804,0.04035902557936559,True
15,75,0.44592770049809877,3,0.6400990099009901,0.019737011474336874,0.8,0.0385174934238001,0.7843766558171221,0.04033035326824107,True
20,25,0.02310201887845294,1,0.4336633663366337,0.012123273210289559,0.7818181818181819,0.023871203608837883,0.7189387631519188,0.040295464797559105,True
10,100,0.0326147367857574,2,0.5813531353135313,0.015706095782811944,0.7454545454545455,0.030758125852705216,0.73827113768829,0.040225637577113005,True
15,25,0.16409286730647918,1,0.487953795379538,0.013541545231031233,0.7818181818181819,0.026619458479352744,0.7305578684429641,0.03941742946032435,True
10,100,0.025081156860452335,2,0.5712871287128712,0.016061834380998515,0.7818181818181819,0.03147069611830775,0.7340473847551283,0.03917100667657479,True
15,50,0.05747046964197846,2,0.5838283828382839,0.017027291275118497,0.8,0.0333389652894661,0.7436605858754068,0.03909379371494294,True
20,50,0.03385703721277024,2,0.5678217821782179,0.015996382511553102,0.7818181818181819,0.03134013370904083,0.7312769661645598,0.03811955547598176,True
10,100,0.7139796923487938,2,0.6412541254125413,0.01893931158494617,0.7636363636363637,0.03695398011721358,0.7717205359170388,0.03806356236140283,True
5,100,0.9841670344314253,3,0.6338283828382838,0.018676575909599792,0.7636363636363637,0.03645637859259772,0.7679963666641435,0.03712518305025382,True
5,100,0.08093393514602484,3,0.6292079207920793,0.0179236213657336,0.7454545454545455,0.03499922090882774,0.7659526152448717,0.037025584382735344,True
5,100,0.010085818527028324,1,0.43184818481848175,0.012592046950431368,0.8181818181818183,0.024794104288583595,0.718053137536901,0.03491635863510684,True
5,100,0.010063289851984602,1,0.4321782178217822,0.012598765602669731,0.8181818181818183,0.024806955694206084,0.7180077208386951,0.03491577716086174,True
5,100,0.5615201974783557,3,0.6427392739273927,0.019172455806982087,0.7636363636363636,0.037401382310273505,0.7642116418136402,0.03472813253689701,True
5,100,0.25711135948010994,3,0.63993399339934,0.018874648684855742,0.7636363636363637,0.036830432611648194,0.7681931723563696,0.03453814235467108,True
10,100,0.29106359131330695,2,0.6361386138613861,0.019471863793983274,0.8,0.03801201407287862,0.7638028915297858,0.034512286664081224,True
5,100,0.8536189862866826,3,0.6354785478547855,0.018760123080246483,0.7636363636363637,0.03661610666459516,0.7599121943834682,0.03400229677775627,True
5,100,0.18309151263817278,3,0.6371287128712871,0.019666818732009605,0.8,0.038377313830920017,0.7658315040496555,0.03364771995029644,True
5,100,0.3611671363321406,3,0.6384488448844884,0.01924515950123327,0.7818181818181819,0.037557154985732186,0.7671637271970327,0.03315114524401074,True
