n_estimators_ee,depth,learning_rate,iterations,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
5,5,0.01903959355886423,200,0.6216171617161717,0.020136827121301614,0.8545454545454545,0.03934466684845767,0.7717659526152449,0.040579889834698304,True
15,9,0.08543039251892012,150,0.6066006600660067,0.01846804504827912,0.8181818181818181,0.03611548349080483,0.7648474755885247,0.04006525741127979,True
15,7,0.01083858126934475,200,0.612046204620462,0.018337571795871956,0.8,0.03584896915158182,0.7679963666641435,0.03992172818693045,True
10,6,0.029580322262546626,200,0.6252475247524751,0.01857343800064127,0.7818181818181819,0.036281416885808875,0.7728105366739837,0.03964006317919713,True
5,5,0.06895224097871018,200,0.6313531353135314,0.019356402323551812,0.8,0.037795210826814175,0.7729165089697979,0.03953360050500982,True
10,8,0.13863523534415198,200,0.6206270627062705,0.01836101002659718,0.7818181818181817,0.03587400152100824,0.7721141473014912,0.03949060680879698,True
10,5,0.1476662672851026,100,0.6260726072607261,0.01903568848516888,0.8,0.03718348126346348,0.7761713723412307,0.03911956896326967,True
5,5,0.07726185693029482,100,0.6077557755775577,0.018576201409276884,0.8181818181818181,0.0363261323549199,0.7640148361214141,0.039060198298456375,True
5,4,0.010168273264104351,100,0.5457095709570957,0.01494394834097805,0.7636363636363637,0.029307668192244608,0.7320717583831656,0.038846656901354824,True
5,8,0.05104954316168698,100,0.5663366336633663,0.017172488521654376,0.8363636363636363,0.03365031741986102,0.7397169025811824,0.03862210422943883,True
15,6,0.1906575721521555,100,0.6354785478547855,0.019498808518389366,0.8,0.03806458837236272,0.7749299825902657,0.038262570083459714,True
5,5,0.01497823619896779,200,0.6184818481848186,0.01999398284300993,0.8545454545454545,0.039070634251092876,0.7686170615396261,0.03811695559023938,True
10,8,0.23333745358939123,150,0.6237623762376238,0.018497730357005977,0.7818181818181817,0.03613458505260036,0.7668609492089924,0.03810391846369385,True
