n_estimators_ee,max_depth,learning_rate,n_estimators_xgb,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
20,7,0.020877636544683203,100,0.6363036303630363,0.019640082356763962,0.8,0.03832976522678849,0.778517901748543,0.07697341900784185,True
20,7,0.01722481831332576,100,0.6387788778877888,0.019776705682818786,0.8,0.03858944162048863,0.7757928998561805,0.07694042717050512,True
20,7,0.01706665742010347,100,0.6384488448844885,0.019766712971873796,0.8,0.038569853843478094,0.7757172053591704,0.07685484053806876,True
15,7,0.029103696536239305,100,0.6394389438943894,0.01986782433533159,0.8,0.0387625761658972,0.7827265157823027,0.07608208937570392,True
20,6,0.03316622947095894,50,0.640924092409241,0.01944279309668582,0.7818181818181819,0.0379322453859274,0.7756263719627582,0.07467985323790395,True
20,6,0.037574149901318375,50,0.6394389438943895,0.019810766747749866,0.8,0.03865422143415323,0.7762622057376428,0.07460019911424894,True
20,6,0.032303221577804936,50,0.6399339933993399,0.019842839142761012,0.8,0.038714644326111526,0.7745666490046174,0.0744242432976833,True
20,7,0.01955039869127889,100,0.6377887788778878,0.019726412308672604,0.8,0.03849366756510804,0.7781091514646885,0.07441429271819397,True
20,6,0.031046154373201258,100,0.6386138613861386,0.02066096198902214,0.8363636363636363,0.040316280808480626,0.7861630459465596,0.07425030337153005,True
20,7,0.011657992367540436,150,0.6377887788778878,0.01972637283196546,0.8,0.038493237018701366,0.7765801226250852,0.07421834483824001,True
20,7,0.01786042616501094,100,0.6372937293729373,0.019698088788990636,0.8,0.03843956842235449,0.7755960941639543,0.07420805090914716,True
20,6,0.030936389576537087,100,0.6374587458745875,0.020595770306501972,0.8363636363636363,0.04019221059568364,0.7853909620770569,0.07409090963868029,True
20,6,0.0313065151507754,100,0.6367986798679868,0.020559716585743914,0.8363636363636363,0.04012357722130883,0.7851638785860268,0.07406563803791615,True
20,6,0.05191911836433886,50,0.6364686468646864,0.01964660766386631,0.8,0.03834226814164447,0.7824994322912724,0.0740509250783132,True
20,9,0.018199444840564436,100,0.6377887788778878,0.019723967025627447,0.8,0.038489263442037215,0.7763227613352509,0.07400217982436377,True
20,6,0.016766957717769985,50,0.6402640264026402,0.02032393400343284,0.8181818181818181,0.039649688600320046,0.7706305351600938,0.07384037734240949,True
20,7,0.016488374284966033,100,0.6392739273927392,0.019364005718752388,0.7818181818181819,0.03778138104063287,0.7746877601998333,0.07380713281783798,True
20,7,0.014650484099370047,100,0.6400990099009901,0.019407618026564398,0.7818181818181819,0.037864273581800674,0.774309287714783,0.0737645290329705,True
20,6,0.04704022339094994,50,0.6369636963696369,0.0196749455361149,0.8,0.03839598388131461,0.7790023465294074,0.07374127736765175,True
20,8,0.01986479845652216,100,0.6377887788778878,0.019721328001367434,0.8,0.03848452711593116,0.7782151237605026,0.07364820371941791,True
20,6,0.06587602858073142,50,0.636963696369637,0.020570690248767842,0.8363636363636363,0.0401442281672921,0.7871622133070926,0.0735758504333936,True
15,7,0.030876318969345857,100,0.6397689768976897,0.01988305101239763,0.8,0.03879187327502269,0.7847551283021724,0.07348303991861968,True
20,6,0.03463024751373611,100,0.6364686468646865,0.020075992000186022,0.8181818181818181,0.039181060290927015,0.786405268336992,0.0732791983613043,True
20,7,0.018764471871157595,150,0.6371287128712873,0.020122686284843115,0.8181818181818181,0.03926930178342797,0.7847854061009765,0.07327676870067763,True
20,5,0.042311568456975424,50,0.634983498349835,0.019570783549348946,0.8,0.03819792009275113,0.7790023465294074,0.0729238193497543,True
20,7,0.02819447429586924,100,0.635973597359736,0.019625082991156877,0.8,0.03830114847152645,0.7844372114147302,0.07261530525973126,True
20,6,0.03640186290822892,50,0.637953795379538,0.01972187863597715,0.8,0.038485898987338875,0.7764438725304671,0.07259669120314274,True
20,7,0.025462849479647654,100,0.636963696369637,0.019666743666249452,0.8,0.038381253607352,0.7814397093331316,0.07254210089544096,True
20,7,0.023898451967065148,100,0.6366336633663365,0.019657303479072845,0.8,0.03836251918906621,0.780894708954659,0.07225504503648658,True
20,7,0.021552681503627595,100,0.635973597359736,0.019627312865957283,0.8,0.03830489545532438,0.7791385966240254,0.07220998267528075,True
20,7,0.012060079226597048,200,0.635973597359736,0.019615892993504244,0.8,0.03828406027285442,0.7818787374157898,0.07220827635320955,True
20,7,0.021830476725205397,100,0.6363036303630363,0.01963974879237277,0.8,0.03832905468401693,0.7796835970024979,0.07219807496499187,True
20,7,0.0444858273200615,100,0.6366336633663365,0.02055870025103964,0.8363636363636363,0.04012103670082459,0.7872227689047007,0.07213026974748131,True
20,6,0.01965527553468018,50,0.6404290429042904,0.019875673799098926,0.8,0.03877525702958584,0.771947619408069,0.07198439243749244,True
20,8,0.02072949774681893,100,0.6367986798679868,0.019669396240927273,0.8,0.0383854822817447,0.7788055408371811,0.07192916810289907,True
20,7,0.04082675061540033,100,0.6371287128712871,0.02058905509305654,0.8363636363636363,0.0401785950562344,0.7857694345621073,0.0717174776310334,True
20,8,0.013420053959739548,150,0.6382838283828383,0.019745870667013964,0.8,0.0385312061471039,0.7781999848611006,0.07146008738326273,True
15,7,0.022954285503631343,100,0.6402640264026402,0.019437480488996423,0.7818181818181819,0.03792215190257346,0.7790629021270153,0.07142333737128684,True
20,7,0.04311136370790452,100,0.6371287128712871,0.020587510106185716,0.8363636363636363,0.04017573526839933,0.7878434637801831,0.07139717877379351,True
15,8,0.026727200523349072,100,0.6407590759075907,0.019939751392259793,0.8,0.038899343854103166,0.7811823480432972,0.07138766612226535,True
20,5,0.02148884959185481,50,0.6344884488448845,0.019127673063356224,0.7818181818181819,0.03733018622024378,0.7705397017636818,0.07125378022482882,True
15,8,0.02743525594060043,100,0.6410891089108911,0.01996030849039012,0.8,0.03893822012282298,0.7817122095223678,0.07105030267023645,True
20,5,0.02262150132425765,50,0.6353135313531354,0.01916507839391797,0.7818181818181819,0.037401734651617405,0.7711906744379684,0.07102209098808004,True
15,8,0.027298412324703546,100,0.6422442244224423,0.020022111055033133,0.8,0.03905559939986579,0.7818333207175837,0.07100598305469501,True
20,6,0.028261200436395687,150,0.6351485148514852,0.020470810591011007,0.8363636363636363,0.03995387789447953,0.7863144349405797,0.07096524997547242,True
15,8,0.02629286631551949,100,0.6407590759075907,0.01992662333062191,0.8,0.03887513047239054,0.7818635985163878,0.07092432767516016,True
15,7,0.04951941446425747,50,0.6400990099009901,0.01988594575602378,0.8,0.03879750902959765,0.781015820149875,0.07078555174594103,True
15,8,0.053166099198119376,50,0.639108910891089,0.019372587889959027,0.7818181818181819,0.03779893050609433,0.7817727651199758,0.07063321337709026,True
15,7,0.029525382561273857,100,0.63993399339934,0.019896354180334995,0.8,0.038816704667313254,0.7835288774506093,0.0704451095625047,True
20,6,0.039540114125078324,100,0.635973597359736,0.02052024980403917,0.8363636363636363,0.04004778958341626,0.7874347134963288,0.07031811540441481,True
20,4,0.020366442026830918,50,0.636963696369637,0.019696638193410505,0.8,0.038435480170798744,0.7709181742487321,0.0701138505020822,True
15,7,0.020056280816448877,100,0.6400990099009901,0.01941874661643367,0.7818181818181819,0.037886406662463415,0.7765649837256831,0.06969120743631682,True
20,5,0.04886966307504953,100,0.6346534653465346,0.02044629234273007,0.8363636363636363,0.03990729169619731,0.7873136023011127,0.0696078739418914,True
15,7,0.01083858126934475,200,0.6400990099009901,0.019419728982406154,0.7818181818181819,0.03788864423660153,0.7784876239497388,0.06939395178959436,True
20,6,0.04129863999822228,100,0.6364686468646865,0.020547161157120526,0.8363636363636363,0.04009921245190075,0.7868897131178565,0.0693844431138301,True
15,7,0.01614966749701188,100,0.6407590759075907,0.01945562187719656,0.7818181818181819,0.03795581412855215,0.7745666490046175,0.0688377032848843,True
15,7,0.01900181434381694,100,0.641089108910891,0.019463511165632896,0.7818181818181819,0.03797207312750187,0.7763681780334569,0.06824245705098755,True
